name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Much Ado About Nothing,PG-13,Comedy,1993,"July 2, 1993 (United States)",7.3,46000.0,Kenneth Branagh,William Shakespeare,Kenneth Branagh,United Kingdom,11000000.0,22549338.0,Renaissance Films,111.0
This Boy's Life,R,Biography,1993,"April 23, 1993 (United States)",7.3,49000.0,Michael Caton-Jones,Tobias Wolff,Robert De Niro,United States,,4104962.0,Knickerbocker Films,115.0
Three Colors: Blue,R,Drama,1993,"September 8, 1993 (France)",7.9,93000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Juliette Binoche,France,,1341154.0,MK2 Productions,94.0
Grumpy Old Men,PG-13,Comedy,1993,"December 25, 1993 (United States)",7.0,45000.0,Donald Petrie,Mark Steven Johnson,Jack Lemmon,United States,,70172621.0,John Davis,103.0
A Perfect World,PG-13,Crime,1993,"November 24, 1993 (United States)",7.5,76000.0,Clint Eastwood,John Lee Hancock,Kevin Costner,United States,30000000.0,135130999.0,Warner Bros.,138.0
What's Love Got to Do with It,R,Biography,1993,"June 25, 1993 (United States)",7.3,18000.0,Brian Gibson,Tina Turner,Angela Bassett,United States,15000000.0,39100956.0,Touchstone Pictures,118.0
Short Cuts,R,Comedy,1993,"October 1, 1993 (Italy)",7.7,43000.0,Robert Altman,Raymond Carver,Andie MacDowell,United States,,6110979.0,Fine Line Features,188.0
Searching for Bobby Fischer,PG,Biography,1993,"August 11, 1993 (United States)",7.4,37000.0,Steven Zaillian,Fred Waitzkin,Joe Mantegna,United States,12000000.0,7266383.0,Mirage Enterprises,109.0
Stalingrad,Not Rated,Drama,1993,"January 21, 1993 (Germany)",7.5,32000.0,Joseph Vilsmaier,Jürgen Büscher,Dominique Horwitz,Germany,,152972.0,B.A. Produktion,134.0
Dragon,PG-13,Action,1993,"May 7, 1993 (United States)",7.0,29000.0,Rob Cohen,Robert Clouse,Jason Scott Lee,United States,14000000.0,63513743.0,Raffaella De Laurentiis Productions,120.0
The Joy Luck Club,R,Drama,1993,"October 29, 1993 (United States)",7.7,16000.0,Wayne Wang,Amy Tan,Tamlyn Tomita,United States,11000000.0,32901136.0,Hollywood Pictures,139.0
The Cement Garden,Not Rated,Drama,1993,"February 11, 1994 (United States)",7.1,4500.0,Andrew Birkin,Andrew Birkin,Charlotte Gainsbourg,France,,322975.0,British Broadcasting Corporation (BBC),101.0
Batman: Mask of the Phantasm,PG,Animation,1993,"December 25, 1993 (United States)",7.8,45000.0,Directors,Alan Burnett,Kevin Conroy,United States,6000000.0,5635204.0,Warner Bros. Animation,76.0
Heart and Souls,PG-13,Comedy,1993,"August 13, 1993 (United States)",7.0,17000.0,Ron Underwood,Gregory Hansen,Robert Downey Jr.,United States,25000000.0,16589540.0,Universal Pictures,104.0
Ruby in Paradise,R,Drama,1993,"November 5, 1993 (United States)",7.0,2500.0,Victor Nunez,Jane Austen,Ashley Judd,United States,800000.0,1001437.0,Full Crew/Say Yea,114.0
Farewell My Concubine,R,Drama,1993,"October 15, 1993 (United States)",8.1,26000.0,Kaige Chen,Pik-Wah Lee,Leslie Cheung,China,4000000.0,6122607.0,Tomson Films,171.0
Shadowlands,PG,Biography,1993,"January 14, 1994 (United States)",7.3,18000.0,Richard Attenborough,William Nicholson,Anthony Hopkins,United Kingdom,22000000.0,25842377.0,Price Entertainment,131.0
Arizona Dream,R,Comedy,1993,"September 9, 1994 (United States)",7.3,42000.0,Emir Kusturica,David Atkins,Johnny Depp,France,19000000.0,112547.0,Canal+,142.0
King of the Hill,PG-13,Drama,1993,"August 20, 1993 (United States)",7.4,7800.0,Steven Soderbergh,A.E. Hotchner,Jesse Bradford,United States,8000000.0,1214231.0,Wildwood Enterprises,103.0
Red Rock West,R,Crime,1993,"May 14, 1993 (Italy)",7.0,21000.0,John Dahl,John Dahl,Nicolas Cage,United States,8000000.0,2502551.0,Propaganda Films,98.0
Fearless,R,Drama,1993,"November 5, 1993 (United States)",7.1,22000.0,Peter Weir,Rafael Yglesias,Jeff Bridges,United States,,6995302.0,Spring Creek Productions,122.0
Manhattan Murder Mystery,PG,Comedy,1993,"August 18, 1993 (United States)",7.3,41000.0,Woody Allen,Woody Allen,Woody Allen,United States,13500000.0,11330911.0,TriStar Pictures,104.0
Les visiteurs,R,Comedy,1993,"July 12, 1996 (United States)",7.1,33000.0,Jean-Marie Poiré,Christian Clavier,Christian Clavier,France,,659810.0,Alpilles Productions,107.0
The Thief and the Cobbler,G,Animation,1993,"August 25, 1995 (United States)",7.1,3700.0,Richard Williams,Richard Williams,Vincent Price,United Kingdom,25000000.0,669276.0,Richard Williams Productions,90.0
The Scent of Green Papaya,Not Rated,Drama,1993,"January 28, 1994 (United States)",7.4,8300.0,Anh Hung Tran,Anh Hung Tran,Nu Yên-Khê Tran,Vietnam,,1700992.0,Les Productions Lazennec,104.0
Iron Monkey,PG-13,Action,1993,"October 12, 2001 (United States)",7.5,16000.0,Woo-Ping Yuen,Tan Cheung,Rongguang Yu,Hong Kong,11000000.0,14694904.0,Film Workshop,85.0
"Faraway, So Close!",PG-13,Drama,1993,"December 21, 1993 (United States)",7.3,7800.0,Wim Wenders,Wim Wenders,Otto Sander,Germany,10500000.0,810455.0,Road Movies Filmproduktion,140.0
A Home of Our Own,PG,Biography,1993,"November 5, 1993 (United States)",7.1,3000.0,Tony Bill,Patrick Sheane Duncan,Kathy Bates,United States,12000000.0,1677807.0,A&M Films,104.0
The Wedding Banquet,R,Comedy,1993,"August 4, 1993 (United States)",7.6,14000.0,Ang Lee,Ang Lee,Winston Chao,Taiwan,1000000.0,6933459.0,Ang Lee Productions,106.0
Madadayo,,Drama,1993,"April 17, 1993 (Japan)",7.3,5100.0,Akira Kurosawa,Ishirô Honda,Tatsuo Matsumura,Japan,11900000.0,596.0,DENTSU Music And Entertainment,134.0
Caro diario,Unrated,Biography,1993,"September 30, 1994 (United States)",7.3,7400.0,Nanni Moretti,Nanni Moretti,Nanni Moretti,Italy,,225278.0,Sacher Film,100.0
Blue,Not Rated,Biography,1993,"December 3, 1993 (United States)",7.3,2100.0,Derek Jarman,Derek Jarman,Derek Jarman,United Kingdom,,,Channel 4 Television Corporation,79.0
Fear of a Black Hat,R,Comedy,1993,"June 3, 1994 (United States)",7.2,3900.0,Rusty Cundieff,Rusty Cundieff,Larry B. Scott,United States,999999.0,233824.0,Incorporated Television Company (ITC),88.0
The Shawshank Redemption,R,Drama,1994,"October 14, 1994 (United States)",9.3,2400000.0,Frank Darabont,Stephen King,Tim Robbins,United States,25000000.0,28817291.0,Castle Rock Entertainment,142.0
Pulp Fiction,R,Crime,1994,"October 14, 1994 (United States)",8.9,1900000.0,Quentin Tarantino,Quentin Tarantino,John Travolta,United States,8000000.0,213928762.0,Miramax,154.0
Forrest Gump,PG-13,Drama,1994,"July 6, 1994 (United States)",8.8,1900000.0,Robert Zemeckis,Winston Groom,Tom Hanks,United States,55000000.0,678226133.0,Paramount Pictures,142.0
Léon: The Professional,R,Action,1994,"November 18, 1994 (United States)",8.5,1100000.0,Luc Besson,Luc Besson,Jean Reno,France,,19552639.0,Gaumont,110.0
True Lies,R,Action,1994,"July 15, 1994 (United States)",7.2,243000.0,James Cameron,Claude Zidi,Arnold Schwarzenegger,United States,115000000.0,378882411.0,Twentieth Century Fox,141.0
The Lion King,G,Animation,1994,"June 24, 1994 (United States)",8.5,970000.0,Roger Allers,Irene Mecchi,Matthew Broderick,United States,45000000.0,1083720877.0,Walt Disney Pictures,88.0
Speed,R,Action,1994,"June 10, 1994 (United States)",7.2,339000.0,Jan de Bont,Graham Yost,Keanu Reeves,United States,30000000.0,350448145.0,The Mark Gordon Company,116.0
Stargate,PG-13,Action,1994,"October 28, 1994 (United States)",7.1,180000.0,Roland Emmerich,Dean Devlin,Kurt Russell,United States,55000000.0,196567262.0,Canal+,116.0
Dumb and Dumber,PG-13,Comedy,1994,"December 16, 1994 (United States)",7.3,361000.0,Peter Farrelly,Peter Farrelly,Jim Carrey,United States,17000000.0,247275374.0,New Line Cinema,107.0
Legends of the Fall,R,Drama,1994,"January 13, 1995 (United States)",7.5,154000.0,Edward Zwick,Susan Shilliday,Brad Pitt,United States,30000000.0,160638883.0,TriStar Pictures,133.0
Natural Born Killers,R,Action,1994,"August 26, 1994 (United States)",7.3,222000.0,Oliver Stone,Quentin Tarantino,Woody Harrelson,United States,34000000.0,50283563.0,Warner Bros.,118.0
The Crow,R,Action,1994,"May 13, 1994 (United States)",7.6,170000.0,Alex Proyas,James O'Barr,Brandon Lee,United States,23000000.0,50693129.0,Crowvision Inc.,102.0
Interview with the Vampire: the Vampire Chronicles,R,Drama,1994,"November 11, 1994 (United States)",7.5,301000.0,Neil Jordan,Anne Rice,Brad Pitt,United States,60000000.0,223664608.0,Geffen Pictures,123.0
Four Weddings and a Funeral,R,Comedy,1994,"April 15, 1994 (United States)",7.1,144000.0,Mike Newell,Richard Curtis,Hugh Grant,United Kingdom,4400000.0,245700832.0,PolyGram Filmed Entertainment,117.0
Little Women,PG,Drama,1994,"December 25, 1994 (United States)",7.3,54000.0,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,18000000.0,50083616.0,Columbia Pictures,115.0
Chungking Express,PG-13,Comedy,1994,"March 8, 1996 (United States)",8.1,69000.0,Kar-Wai Wong,Kar-Wai Wong,Brigitte Lin,Hong Kong,,1432358.0,Jet Tone Production,102.0
Heavenly Creatures,R,Biography,1994,"October 14, 1994 (New Zealand)",7.3,60000.0,Peter Jackson,Fran Walsh,Melanie Lynskey,New Zealand,5000000.0,3049135.0,WingNut Films,99.0
Clerks,R,Comedy,1994,"November 9, 1994 (France)",7.7,214000.0,Kevin Smith,Kevin Smith,Brian O'Halloran,United States,27000.0,3151130.0,View Askew Productions,92.0
Maverick,PG,Action,1994,"May 20, 1994 (United States)",7.0,104000.0,Richard Donner,Roy Huggins,Mel Gibson,United States,75000000.0,183031272.0,Donner/Shuler-Donner Productions,127.0
The Last Seduction,R,Crime,1994,"October 26, 1994 (United States)",7.1,22000.0,John Dahl,Steve Barancik,Linda Fiorentino,United Kingdom,2500000.0,5842603.0,Incorporated Television Company (ITC),110.0
"The Adventures of Priscilla, Queen of the Desert",R,Comedy,1994,"August 10, 1994 (United States)",7.5,48000.0,Stephan Elliott,Stephan Elliott,Hugo Weaving,Australia,,11265402.0,PolyGram Filmed Entertainment,104.0
Ed Wood,R,Biography,1994,"October 7, 1994 (United States)",7.8,168000.0,Tim Burton,Rudolph Grey,Johnny Depp,United States,18000000.0,5887457.0,Touchstone Pictures,127.0
In the Mouth of Madness,R,Drama,1994,"February 3, 1995 (United States)",7.2,64000.0,John Carpenter,Michael De Luca,Sam Neill,United States,8000000.0,8924549.0,New Line Cinema,95.0
Three Colors: Red,R,Drama,1994,"November 23, 1994 (United States)",8.1,94000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,Switzerland,,3581969.0,MK2 Productions,99.0
Muriel's Wedding,R,Comedy,1994,"March 31, 1995 (United States)",7.2,37000.0,P.J. Hogan,P.J. Hogan,Toni Collette,Australia,9000000.0,15482277.0,CiBy 2000,106.0
Once Were Warriors,R,Crime,1994,"March 3, 1995 (United States)",7.9,32000.0,Lee Tamahori,Riwia Brown,Rena Owen,New Zealand,,1608570.0,Communicado Productions,102.0
The Hudsucker Proxy,PG,Comedy,1994,"March 11, 1994 (United States)",7.2,78000.0,Joel Coen,Ethan Coen,Tim Robbins,United Kingdom,40000000.0,2816518.0,PolyGram Filmed Entertainment,111.0
Shallow Grave,R,Crime,1994,"February 10, 1995 (United States)",7.3,58000.0,Danny Boyle,John Hodge,Kerry Fox,United Kingdom,2500000.0,2079569.0,Channel Four Films,89.0
Quiz Show,PG-13,Biography,1994,"October 7, 1994 (United States)",7.5,66000.0,Robert Redford,Paul Attanasio,Ralph Fiennes,United States,31000000.0,24822619.0,Baltimore Pictures,133.0
Three Colors: White,R,Comedy,1994,"June 10, 1994 (United States)",7.6,67000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Zbigniew Zamachowski,Switzerland,,1237219.0,MK2 Productions,92.0
Torment,Not Rated,Crime,1994,November 1994 (United States),7.1,4500.0,Claude Chabrol,Claude Chabrol,Emmanuelle Béart,France,,39003.0,MK2 Productions,102.0
Exotica,R,Drama,1994,"March 24, 1995 (United States)",7.1,19000.0,Atom Egoyan,Atom Egoyan,Bruce Greenwood,Canada,,4221036.0,Alliance Entertainment,103.0
Death and the Maiden,R,Drama,1994,"January 27, 1995 (United States)",7.3,23000.0,Roman Polanski,Ariel Dorfman,Sigourney Weaver,United Kingdom,12000000.0,3103716.0,Fine Line Features,103.0
The Postman,PG,Biography,1994,"March 22, 1996 (United States)",7.7,34000.0,Michael Radford,Antonio Skármeta,Massimo Troisi,Italy,3000000.0,21898920.0,Cecchi Gori Group Tiger Cinematografica,108.0
The Madness of King George,PG-13,Biography,1994,"December 28, 1994 (United States)",7.2,16000.0,Nicholas Hytner,Alan Bennett,Nigel Hawthorne,United Kingdom,65897768.0,15238689.0,The Samuel Goldwyn Company,110.0
Nobody's Fool,R,Comedy,1994,"January 13, 1995 (United States)",7.4,19000.0,Robert Benton,Richard Russo,Paul Newman,United States,20000000.0,39491975.0,Capella International,110.0
The Secret of Roan Inish,PG,Drama,1994,"February 3, 1995 (United States)",7.5,7400.0,John Sayles,Rosalie K. Fry,Jeni Courtney,United States,3000000.0,6159269.0,Jones Entertainment Group,103.0
Bullets Over Broadway,R,Comedy,1994,"February 24, 1995 (United States)",7.4,36000.0,Woody Allen,Woody Allen,John Cusack,United States,20000000.0,13383747.0,Miramax,98.0
Queen Margot,R,Biography,1994,"December 9, 1994 (United States)",7.4,17000.0,Patrice Chéreau,Alexandre Dumas,Isabelle Adjani,France,,1318578.0,Renn Productions,159.0
Crooklyn,PG-13,Comedy,1994,"May 13, 1994 (United States)",7.0,9700.0,Spike Lee,Joie Lee,Alfre Woodard,United States,14000000.0,13642861.0,Universal Pictures,115.0
The Legend of Drunken Master,R,Action,1994,"October 20, 2000 (United States)",7.6,44000.0,Chia-Liang Liu,Edward Tang,Jackie Chan,Hong Kong,10000000.0,11555430.0,Golden Harvest Company,102.0
Immortal Beloved,R,Biography,1994,"January 27, 1995 (United States)",7.4,24000.0,Bernard Rose,Bernard Rose,Gary Oldman,United Kingdom,,9914409.0,Icon Entertainment International,121.0
Eat Drink Man Woman,Not Rated,Comedy,1994,"August 3, 1994 (United States)",7.8,19000.0,Ang Lee,Ang Lee,Sihung Lung,Taiwan,,7294403.0,Ang Lee Productions,124.0
Cemetery Man,R,Comedy,1994,"April 26, 1996 (United States)",7.1,20000.0,Michele Soavi,Tiziano Sclavi,Rupert Everett,Italy,4000000.0,253986.0,Audifilm,105.0
Ashes of Time,R,Action,1994,"September 17, 1994 (Hong Kong)",7.1,14000.0,Kar-Wai Wong,Louis Cha,Brigitte Lin,Hong Kong,,1977198.0,Jet Tone Production,100.0
Through the Olive Trees,G,Drama,1994,"January 25, 1995 (France)",7.8,7100.0,Abbas Kiarostami,Abbas Kiarostami,Mohamad Ali Keshavarz,Iran,,,Abbas Kiarostami Productions,103.0
To Live,Not Rated,Drama,1994,"December 16, 1994 (United States)",8.3,17000.0,Yimou Zhang,Wei Lu,You Ge,China,,2332728.0,ERA International,133.0
Fresh,R,Crime,1994,"September 2, 1994 (United States)",7.6,12000.0,Boaz Yakin,Boaz Yakin,Sean Nelson,United States,3500000.0,8094616.0,Lumière Pictures,114.0
A Pure Formality,PG-13,Crime,1994,"May 26, 1995 (United States)",7.7,11000.0,Giuseppe Tornatore,Giuseppe Tornatore,Gérard Depardieu,Italy,,190749.0,Cecchi Gori Group Tiger Cinematografica,108.0
Swimming with Sharks,R,Comedy,1994,"April 21, 1995 (United States)",7.1,22000.0,George Huang,George Huang,Kevin Spacey,United States,700000.0,382928.0,Cineville,93.0
Priest,R,Drama,1994,"March 24, 1995 (United States)",7.1,9800.0,Antonia Bird,Jimmy McGovern,Linus Roache,United Kingdom,,4165845.0,BBC Films,98.0
Barcelona,PG-13,Comedy,1994,"July 29, 1994 (United States)",7.0,5800.0,Whit Stillman,Whit Stillman,Taylor Nichols,United States,3200000.0,7266973.0,Barcelona Films,101.0
Pred dozhdot,Not Rated,Drama,1994,"February 24, 1995 (United States)",8.0,14000.0,Milcho Manchevski,Milcho Manchevski,Katrin Cartlidge,Republic of Macedonia,1900000.0,763847.0,Aim,113.0
Burnt by the Sun,R,Drama,1994,"April 21, 1995 (United States)",7.9,15000.0,Nikita Mikhalkov,Nikita Mikhalkov,Nikita Mikhalkov,Russia,2800000.0,2313461.0,Studio Trite,135.0
War of the Buttons,PG,Adventure,1994,"September 29, 1995 (United States)",7.4,4100.0,John Roberts,Louis Pergaud,Gregg Fitzgerald,United Kingdom,,12712.0,Enigma Productions,94.0
The Sum of Us,R,Comedy,1994,"March 8, 1995 (United States)",7.3,5200.0,Geoff Burton,David Stevens,Jack Thompson,Australia,,766464.0,Australian Film Finance Corporation (AFFC),100.0
The Browning Version,R,Drama,1994,"October 12, 1994 (United States)",7.2,3100.0,Mike Figgis,Terence Rattigan,Albert Finney,United Kingdom,,487391.0,Percy Main,97.0
Heat,R,Crime,1995,"December 15, 1995 (United States)",8.2,596000.0,Michael Mann,Michael Mann,Al Pacino,United States,60000000.0,187436818.0,Warner Bros.,170.0
Se7en,R,Crime,1995,"September 22, 1995 (United States)",8.6,1500000.0,David Fincher,Andrew Kevin Walker,Morgan Freeman,United States,33000000.0,327333559.0,Cecchi Gori Pictures,127.0
Braveheart,R,Biography,1995,"May 24, 1995 (United States)",8.3,978000.0,Mel Gibson,Randall Wallace,Mel Gibson,United States,72000000.0,213216216.0,Icon Entertainment International,178.0
Apollo 13,PG,Adventure,1995,"June 30, 1995 (United States)",7.6,277000.0,Ron Howard,Jim Lovell,Tom Hanks,United States,52000000.0,355237933.0,Universal Pictures,140.0
The Usual Suspects,R,Crime,1995,"August 16, 1995 (United States)",8.5,1000000.0,Bryan Singer,Christopher McQuarrie,Kevin Spacey,United States,6000000.0,23341568.0,PolyGram Filmed Entertainment,106.0
Jumanji,PG,Adventure,1995,"December 15, 1995 (United States)",7.0,318000.0,Joe Johnston,Jonathan Hensleigh,Robin Williams,United States,65000000.0,262821940.0,TriStar Pictures,104.0
Casino,R,Crime,1995,"November 22, 1995 (United States)",8.2,480000.0,Martin Scorsese,Nicholas Pileggi,Robert De Niro,United States,52000000.0,116112375.0,Universal Pictures,178.0
Kids,NC-17,Drama,1995,"September 1, 1995 (United States)",7.1,75000.0,Larry Clark,Harmony Korine,Leo Fitzpatrick,United States,1500000.0,7412216.0,Guys Upstairs,91.0
Toy Story,G,Animation,1995,"November 22, 1995 (United States)",8.3,913000.0,John Lasseter,John Lasseter,Tom Hanks,United States,30000000.0,394436586.0,Walt Disney Pictures,81.0
Desperado,R,Action,1995,"August 25, 1995 (United States)",7.2,175000.0,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,United States,7000000.0,25405445.0,Columbia Pictures,104.0
Die Hard with a Vengeance,R,Action,1995,"May 19, 1995 (United States)",7.6,370000.0,John McTiernan,Jonathan Hensleigh,Bruce Willis,United States,90000000.0,366101666.0,Cinergi Pictures Entertainment,128.0
Mallrats,R,Comedy,1995,"October 20, 1995 (United States)",7.1,118000.0,Kevin Smith,Kevin Smith,Shannen Doherty,United States,8000000.0,2122561.0,Gramercy Pictures (I),94.0
12 Monkeys,R,Mystery,1995,"January 5, 1996 (United States)",8.0,589000.0,Terry Gilliam,Chris Marker,Bruce Willis,United States,29000001.0,168839459.0,Universal Pictures,129.0
Leaving Las Vegas,R,Drama,1995,"February 9, 1996 (United States)",7.5,117000.0,Mike Figgis,John O'Brien,Nicolas Cage,United States,3600000.0,32029928.0,Lumiere Pictures,111.0
Before Sunrise,R,Drama,1995,"January 27, 1995 (United States)",8.1,282000.0,Richard Linklater,Richard Linklater,Ethan Hawke,United States,2500000.0,5987386.0,Castle Rock Entertainment,101.0
Friday,R,Comedy,1995,"April 26, 1995 (United States)",7.3,103000.0,F. Gary Gray,Ice Cube,Ice Cube,United States,3500000.0,28215918.0,New Line Cinema,91.0
Sense and Sensibility,PG,Drama,1995,"January 26, 1996 (United States)",7.7,106000.0,Ang Lee,Jane Austen,Emma Thompson,United States,16000000.0,134582776.0,Columbia Pictures,136.0
The Basketball Diaries,R,Biography,1995,"April 21, 1995 (United States)",7.3,105000.0,Scott Kalvert,Jim Carroll,Leonardo DiCaprio,United States,2000000.0,2402438.0,New Line Cinema,102.0
GoldenEye,PG-13,Action,1995,"November 17, 1995 (United States)",7.2,243000.0,Martin Campbell,Ian Fleming,Pierce Brosnan,United Kingdom,60000000.0,352194034.0,Eon Productions,130.0
La Haine,Not Rated,Crime,1995,"February 23, 1996 (United States)",8.1,157000.0,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,France,,302606.0,Le Studio Canal+,98.0
Crimson Tide,R,Action,1995,"May 12, 1995 (United States)",7.3,105000.0,Tony Scott,Michael Schiffer,Gene Hackman,United States,53000000.0,157387195.0,Hollywood Pictures,116.0
Ghost in the Shell,TV-MA,Animation,1995,"March 29, 1996 (United States)",8.0,133000.0,Mamoru Oshii,Shirow Masamune,Atsuko Tanaka,Japan,,516540.0,Kôdansha,83.0
Tommy Boy,PG-13,Adventure,1995,"March 31, 1995 (United States)",7.1,79000.0,Peter Segal,Bonnie Turner,Chris Farley,United States,,32679899.0,Broadway Pictures,97.0
Dead Man Walking,R,Crime,1995,"February 2, 1996 (United States)",7.5,90000.0,Tim Robbins,Helen Prejean,Susan Sarandon,United Kingdom,11000000.0,39363635.0,Havoc,122.0
The Bridges of Madison County,PG-13,Drama,1995,"June 2, 1995 (United States)",7.6,76000.0,Clint Eastwood,Richard LaGravenese,Clint Eastwood,United States,24000000.0,182016617.0,Warner Bros.,135.0
Strange Days,R,Action,1995,"October 13, 1995 (United States)",7.2,68000.0,Kathryn Bigelow,James Cameron,Ralph Fiennes,United States,42000000.0,7959291.0,Lightstorm Entertainment,145.0
The City of Lost Children,R,Fantasy,1995,"December 15, 1995 (United States)",7.5,66000.0,Marc Caro,Gilles Adrien,Ron Perlman,France,18000000.0,1781465.0,Constellation,112.0
A Little Princess,G,Drama,1995,"May 19, 1995 (United States)",7.7,33000.0,Alfonso Cuarón,Frances Hodgson Burnett,Liesel Matthews,United States,17000000.0,10015449.0,Warner Bros.,97.0
Mr. Holland's Opus,PG,Drama,1995,"January 19, 1996 (United States)",7.3,36000.0,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss,United States,23000000.0,106269971.0,Hollywood Pictures,143.0
Dead Man,R,Adventure,1995,"May 10, 1996 (United States)",7.6,92000.0,Jim Jarmusch,Jim Jarmusch,Johnny Depp,United States,9000000.0,1037847.0,Pandora Filmproduktion,121.0
Dolores Claiborne,R,Crime,1995,"March 24, 1995 (United States)",7.4,41000.0,Taylor Hackford,Stephen King,Kathy Bates,United States,,24361867.0,Castle Rock Entertainment,132.0
Welcome to the Dollhouse,R,Comedy,1995,"May 24, 1996 (United States)",7.4,33000.0,Todd Solondz,Todd Solondz,Heather Matarazzo,United States,800000.0,4569019.0,Suburban Pictures,88.0
Living in Oblivion,R,Comedy,1995,"July 21, 1995 (United States)",7.5,17000.0,Tom DiCillo,Tom DiCillo,Steve Buscemi,United States,500000.0,1111790.0,JDI Productions,90.0
Nixon,R,Biography,1995,"January 5, 1996 (United States)",7.1,29000.0,Oliver Stone,Stephen J. Rivele,Anthony Hopkins,United States,44000000.0,13681765.0,Cinergi Pictures Entertainment,192.0
Underground,Not Rated,Comedy,1995,"June 20, 1997 (United States)",8.1,56000.0,Emir Kusturica,Dusan Kovacevic,Predrag 'Miki' Manojlovic,Federal Republic of Yugoslavia,14000000.0,171082.0,CiBy 2000,167.0
Mighty Aphrodite,R,Comedy,1995,"November 10, 1995 (United States)",7.0,39000.0,Woody Allen,Woody Allen,Woody Allen,United States,15000000.0,6468498.0,Sweetland Films,95.0
Balto,G,Animation,1995,"December 22, 1995 (United States)",7.1,41000.0,Simon Wells,Cliff Ruby,Kevin Bacon,United States,,11349090.0,Amblimation,78.0
Safe,R,Drama,1995,"June 30, 1995 (United States)",7.2,14000.0,Todd Haynes,Todd Haynes,Julianne Moore,United Kingdom,1000000.0,512245.0,American Playhouse Theatrical Films,119.0
Murder in the First,R,Drama,1995,"January 20, 1995 (United States)",7.3,27000.0,Marc Rocco,Dan Gordon,Christian Slater,United States,,17381942.0,Warner Bros.,122.0
Richard III,R,Drama,1995,"December 29, 1995 (United States)",7.4,14000.0,Richard Loncraine,Ian McKellen,Ian McKellen,United Kingdom,,2748518.0,Mayfair Entertainment International,110.0
The Day of the Beast,R,Action,1995,"December 23, 1998 (United States)",7.4,19000.0,Álex de la Iglesia,Jorge Guerricaechevarría,Álex Angulo,Spain,,,Canal+ España,99.0
Smoke,R,Comedy,1995,"June 9, 1995 (United States)",7.4,34000.0,Wayne Wang,Paul Auster,Harvey Keitel,Germany,7000000.0,8367636.0,Miramax,112.0
The Cure,PG-13,Drama,1995,"April 21, 1995 (United States)",7.7,9400.0,Peter Horton,Robert Kuhn,Joseph Mazzello,United States,,2568425.0,Universal Pictures,97.0
The Horseman on the Roof,R,Adventure,1995,"October 6, 1995 (United States)",7.1,5700.0,Jean-Paul Rappeneau,Jean Giono,Olivier Martinez,France,,1320043.0,Hachette Première,118.0
My Family,R,Drama,1995,"May 3, 1995 (United States)",7.3,3800.0,Gregory Nava,Gregory Nava,Jimmy Smits,United States,5500000.0,11079373.0,American Playhouse,128.0
La Cérémonie,Not Rated,Crime,1995,"December 20, 1996 (United States)",7.5,11000.0,Claude Chabrol,Ruth Rendell,Isabelle Huppert,France,,873196.0,Canal+,112.0
Last of the Dogmen,PG,Adventure,1995,"September 8, 1995 (United States)",7.0,5000.0,Tab Murphy,Tab Murphy,Tom Berenger,United States,,7024389.0,Carolco Pictures,118.0
The Flower of My Secret,R,Comedy,1995,"March 8, 1996 (United States)",7.0,11000.0,Pedro Almodóvar,Pedro Almodóvar,Marisa Paredes,Spain,,1104622.0,CiBy 2000,103.0
The White Balloon,Unrated,Drama,1995,1995 (Iran),7.7,6900.0,Jafar Panahi,Abbas Kiarostami,Aida Mohammadkhani,Iran,150000.0,924940.0,Farabi Cinema Foundation,85.0
Land and Freedom,Not Rated,Drama,1995,"March 22, 1996 (United States)",7.6,11000.0,Ken Loach,Jim Allen,Ian Hart,United Kingdom,,228800.0,ARD Degeto Film,109.0
To vlemma tou Odyssea,Unrated,Drama,1995,"November 1, 1997 (United States)",7.6,6400.0,Theodoros Angelopoulos,Theodoros Angelopoulos,Harvey Keitel,Greece,,,Greek Film Center,176.0
The Star Maker,R,Drama,1995,"March 8, 1996 (United States)",7.4,4900.0,Giuseppe Tornatore,Giuseppe Tornatore,Sergio Castellitto,Italy,,371674.0,Cecchi Gori Group Tiger Cinematografica,113.0
Antonia's Line,R,Comedy,1995,"February 2, 1996 (United States)",7.5,8400.0,Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy,Netherlands,,4249321.0,Bergen,102.0
Nelly & Monsieur Arnaud,,Drama,1995,"June 21, 1996 (United States)",7.3,4300.0,Claude Sautet,Jacques Fieschi,Emmanuelle Béart,France,,955708.0,Cecchi Gori Group Tiger Cinematografica,106.0
Independence Day,PG-13,Action,1996,"July 3, 1996 (United States)",7.0,543000.0,Roland Emmerich,Dean Devlin,Will Smith,United States,75000000.0,817400891.0,Twentieth Century Fox,145.0
Scream,R,Horror,1996,"December 20, 1996 (United States)",7.3,295000.0,Wes Craven,Kevin Williamson,Neve Campbell,United States,14000000.0,173046663.0,Dimension Films,111.0
